 x, y, z,signal
7,0,9.84,96
7,0,10.09,97
7,0,10.3,97
7,0,10.72,98
7,0,11,99
7,0,11.05,99
7,0,11.23,100
7,0,11.47,100
7,0,11.57,100
7,0,11.62,101
7,0,12.59,102
7,0,12.6,102
7,0,12.83,103
7,0,13.05,103
7,0,13.14,103
7,0,13.55,104
7,0,13.9,105
7,0,14.06,106
7,0,14.4,106
7,0,14.56,107
7,0,14.97,109
7,0,14.86,115
7,0,14.74,115
7,0,14.67,115
7,0,14.65,115
7,0,14.59,115
7,0,14.44,115
7,0,14.4,115
7,0,14.3,115
7,0,14.01,115
7,0,13.76,115
7,0,13.08,113
7,0,12.97,113
7,0,12.92,113
7,0,12.7,112
7,0,12.19,112
7,0,12,112
7,0,11.75,111
7,0,11.55,110
7,0,11.38,110
7,0,10.82,108
7,0,10.81,108
7,0,10.74,108
7,0,10.68,108
7,0,9.92,106
7,0,9.88,106
7,0,9.71,105
7,0,9.53,105
7,0,9.35,105
7,0,9.13,104
7,0,8.8,104
7,0,8.71,104
7,0,8.57,104
7,0,8.48,103
7,0,8.42,102
7,0,7.95,101
7,0,7.84,100
7,0,7.75,100
7,0,7.45,100
7,0,7.41,100
7,0,7.22,100
7,0,7.09,99
7,0,6.72,99
7,0,6.57,99
7,0,6.32,98
7,0,6.16,98
7,0,5.92,98
7,0,5.78,98
7,0,5.73,98
7,0,5.62,97
7,0,5.5,97
7,0,5.3,97
7,0,5.17,97
7,0,4.68,96
7,0,4.4,96
7,0,3.62,94
7,0,3.41,94
7,0,2.82,93
7,0,2.41,92
7,0,2.22,92
7,0,2.09,92
7,0,1.85,92
7,0,1.78,92
7,0,1.72,91
7,0,1.6,91
7,0,1.23,90
7,0,1.01,90
8,0,0.1,88
8,0,0.4,88
8,0,0.44,88
8,0,0.82,88
8,0,0.88,88
8,0,1.13,88
8,0,1.32,88
8,0,1.39,88
8,0,1.54,88
8,0,1.58,88
8,0,1.7,88
8,0,1.74,88
8,0,1.75,88
8,0,1.83,88
8,0,2.14,88
8,0,2.41,88
8,0,2.5,88
8,0,2.58,88
8,0,2.67,88
8,0,2.75,88
8,0,2.8,88
8,0,2.9,88
8,0,3.06,88
8,0,3.18,88
8,0,3.28,89
8,0,3.35,89
8,0,4.61,90
8,0,4.76,91
8,0,4.97,91
8,0,5.24,91
8,0,5.29,91
8,0,5.51,92
8,0,5.61,92
8,0,5.85,92
8,0,6.11,92
8,0,6.17,92
8,0,6.36,92
8,0,6.45,92
8,0,6.67,92
8,0,6.95,93
8,0,7.06,93
8,0,7.29,93
8,0,7.46,93
8,0,7.63,94
8,0,7.8,94
8,0,8.04,94
8,0,8.22,95
8,0,8.37,95
8,0,8.5,95
8,0,8.57,95
8,0,8.63,95
8,0,8.81,95
8,0,8.89,95
8,0,9.13,95
8,0,9.26,96
8,0,9.34,96
8,0,9.44,96
8,0,9.48,96
8,0,9.64,97
8,0,9.97,97
8,0,10.03,97
8,0,10.14,97
8,0,10.23,97
8,0,10.31,98
8,0,10.41,98
8,0,10.63,98
8,0,10.79,99
8,0,11.4,100
8,0,11.65,100
8,0,11.73,100
8,0,11.89,100
8,0,12.4,100
8,0,12.51,100
8,0,12.66,101
8,0,12.88,101
8,0,13.1,103
8,0,13.27,104
8,0,13.42,104
8,0,13.51,105
8,0,13.97,105
8,0,14.65,107
8,0,14.74,107
8,0,15,107
8,0,14.94,114
8,0,14.69,114
8,0,14.54,114
8,0,14.48,114
8,0,14.42,114
8,0,13.88,114
8,0,13.84,114
8,0,13.63,114
8,0,13.57,114
8,0,13.5,113
8,0,13.31,113
8,0,13.11,113
8,0,13.09,113
